高清央卫,#genre#
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CETV1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CETV2,http://120.76.248.139/live/bfgd/4200000492.m3u8
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8$
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000141.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000489.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
🔮[三网]港澳台直播,#genre#
凤凰中文,http://156.238.224.170:7001/fhx.php?id=cn
凤凰卫视,http://rihou.cc:555/tv/凤凰卫视
凤凰资讯,http://156.238.224.170:7001/fhx.php?id=info
凤凰香港,http://156.238.224.170:7001/fhx.php?id=hk
香港卫视,http://webcast.hkstv.tv:80/livestream/mutfysrq/playlist.m3u8?hls_ctx=9dl33ad6
翡翠台,https://o11.163189.xyz:443/stream/tvb/fct/
明珠台,https://mytv.cdn.loc.cc:443/o12.php?id=mzt
凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰香港,https://cdn6.163189.xyz/163189/fhhk
凤凰中文,http://zmgd.zyrnet.com:8888/hls/110/index.m3u8$郑州酒店
凤凰资讯,http://zmgd.zyrnet.com:8888/hls/109/index.m3u8$郑州酒店
凤凰中文,http://219.145.93.74:10000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$陕西电信酒店
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,https://cdn6.163189.xyz/163189/fct
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,http://o11.163189.xyz/stream/tvb/fct/
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt
娱乐新闻,https://cdn6.163189.xyz/163189/ylxw
翡翠台 http://t.061899.xyz/tl/js/js.php?id=tvbfct
无线新闻,https://cdn6.163189.xyz/163189/wxxw
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
TVB PLUS,http://74.91.26.218:82/live/j2.m3u8#https://smt.1678520.xyz/smt3.2.3.php?id=j2_twn
华丽翡翠,https://o11.163189.xyz/stream/live/hlt/#https://smt.1678520.xyz/smt3.2.3.php?id=Tvbjade$马来
华丽翡翠(新加坡),http://o11.163189.xyz/stream/live/jade/
无线新闻,https://smt.1678520.xyz/smt3.2.3.php?id=inews_twn
Now新闻,http://cdn.163189.xyz/163189/now
HOY 77,http://cdn.163189.xyz/163189/hoy
VIUTV,https://cdn.163189.xyz/163189/viu 
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB千禧经典,https://o11.163189.xyz/stream/live/tvbc/#https://smt.1678520.xyz/smt3.2.5.php?id=Tvbclassic
TVB武侠,https://cdn6.163189.xyz/163189/yzwx
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
Astro AOD,https://o11.163189.xyz/stream/live/aod/
Astro QJ,https://o11.163189.xyz/stream/live/qj/ 
Astro QJ,https://smt.1678520.xyz/smt3.2.3.php?id=Quanjia
Astro欢喜台,https://smt.1678520.xyz/smt3.2.3.php?id=Huahee
八度空间,https://smt.1678520.xyz/smt3.2.1.php?id=TV8
VIUTV,https://smt.1678520.xyz/smt3.2.3.php?id=viu1_twn
RTHK 31,http://cdn.163189.xyz/163189/rthk31
RTHK 32,http://cdn.163189.xyz/163189/rthk32
RTHK 33 
Channel [V],http://rihou.cc:555/tv/Channel+V
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612420/live.m3u8$官网
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8$官网
欧洲华文,http://oh.eztv.vip/live/eztv1.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8$官网
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
澳门Macau,https://cdn6.163189.xyz/163189/as
澳视澳门,https://cdn6.163189.xyz/163189/asam
翡翠台,https://hls.iill.top/api/TVB-Jade/index.m3u8
无线新闻,https://hls.iill.top/api/TVB-News/index.m3u8
TVB PLUS,https://hls.iill.top/api/TVB-Plus/index.m3u
TNTSports3,http://iptv.4666888.xyz/iptv2A.php?id=3
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
TVB plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB星河,http://r.jdshipin.com/Voac4
ViuTV,https://cdn.163189.xyz/163189/viu
千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY76,http://hls.168.us.kg/u/76/master.m3u8
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=31
RHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
RHK32,http://cdn.163189.xyz/163189/rthk32
TVB娱乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
非凡新闻,http://iptv.4666888.xyz/iptv2A.php?id=44
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
华视,http://74.91.26.218:82/live/cts.m3u8
中视,http://74.91.26.218:82/live/ctv.m3u8
公视,http://74.91.26.218:82/live/pts.m3u8
台视,http://74.91.26.218:82/live/ttv.m3u8
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=21
靖洋戏剧,http://iptv.4666888.xyz/iptv2A.php?id=42
靖天电影,http://iptv.4666888.xyz/iptv2A.php?id=56
邵氏武侠,http://iptv.4666888.xyz/iptv2A.php?id=40
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
台视综合,http://iptv.4666888.xyz/iptv2A.php?id=51
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
Now新闻,http://cdn.163189.xyz/163189/now
Now财经,http://hls.168.us.kg/u/333/master.m3u8
Now直播,https://stream1.freetv.fun/20a385a5c465c7bbffb60b3309e265829208c3fbf4e3fd0eedbca1776b2c8f23.m3u8
Now体育,http://rihou.cc:555/tv/[Mt]Now体育
无线新闻,http://74.91.26.218:82/live/inews.m3u8
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB明珠,https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB Plus,http://74.91.26.218:82/live/j2.m3u8
TVBS新闻台,http://rihou.cc:555/tv/[FY]tvbS新闻
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
唐NTD,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
iQIYI,https://o11.163189.xyz/stream/live/iqiyi/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
Astro AOD,https://o11.163189.xyz/stream/live/aod/
ASTV亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空音乐,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
凤凰中文,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华经典,https://cdn8.163189.xyz/163189/lhjd
民视新闻,http://74.91.26.218:82/live/ftvnews.m3u8
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
寰宇新聞,https://stream1.freetv.fun/05d08ea65b8b2d697984abf19f4545c698308338fdf8aaeac86784ab6e6ef8b0.m3u8
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8
华视新闻,http://74.91.26.218:82/live/ctsnews.m3u8
中天新闻,https://stream1.freetv.fun/1b67bc523c86ffa05707cd3f9471cfe1ced1c17d0537471788e00679a1d6cde3.m3u8
镜新闻,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/c9b2313d-efdd-4777-9fae-573be8a86755/0.m3u8
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
公视台语台,http://74.91.26.218:82/live/ptsty.m3u8
中视菁采台,http://74.91.26.218:82/live/ctvjc.m3u8
中视经典,http://74.91.26.218:82/live/ctvjd.m3u8
台视财经,http://74.91.26.218:82/live/ttvcj.m3u8
华视教育体育文化,http://74.91.26.218:82/live/ctsjy.m3u8
GOODTV好消息,http://165.154.226.214:50007/of-litv-ftv16/index.m3u8?proxy=true
GOOD2,http://165.154.226.214:50007/of-litv-ftv17/index.m3u8?proxy=true
天映经典,https://cdn9.163189.xyz/smt1.1.php?id=Celestial2
邵氏电影,http://feilong123.vip/409990236/tv.php?id=ssdy
邵氏武侠,http://feilong123.vip/409990236/tv.php?id=sswx
邵氏动作,http://feilong123.vip/409990236/tv.php?id=ssdz
邵氏喜剧,http://feilong123.vip/409990236/tv.php?id=ssxj
NOW新闻台,http://cdn.163189.xyz/163189/now
VIUTV,https://cdn.163189.xyz/163189/viu
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
公视,rtmp://f13h.mine.nu/sat/tv771
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
TVBS,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
翡翠台,https://cdn6.163189.xyz/163189/fct4k
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
GOODTV,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
GOODTV,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
GOOD2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
GOOD2,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch2-2.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
CH5,http://cdn6.163189.xyz/163189/ch5
CH8,http://cdn6.163189.xyz/163189/ch8
CHU,http://cdn6.163189.xyz/163189/chu
Channel 5,http://cdn6.163189.xyz/163189/ch5
Channel 8,http://cdn6.163189.xyz/163189/ch8
Channel U,http://cdn6.163189.xyz/163189/chu
POPC,http://tl.061833.xyz/tl/popc
MoMoTV,rtmp://f13h.mine.nu/sat/tv761
DAZN1,rtmp://f13h.mine.nu/sat/tv731
DAZN2,rtmp://f13h.mine.nu/sat/tv741
东森超视,rtmp://f13h.mine.nu/sat/tv331
重温经典,http://8.138.7.223/tv/cwjd.php
八度空间,http://cdn6.163189.xyz/163189/8tv
唐人卫视,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
中旺电视,http://38.64.72.148:80/hls/modn/list/4010/chunklist1.m3u8
生命电影,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
耀才财经台,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
香港卫视,https://stream1.freetv.fun/6130c4439e91813125415b749209467f8da4f3d09d09ac80d7848321fc5e709e.m3u8
凤凰电影,http://39.107.120.164:8080/live/diyp_fhdy.m3u8





🔮[联通]港澳台直播,#genre#
DAZN1,http://208.87.242.79/livehttpplay?channel_id=10104
DAZN2,http://208.87.242.79/livehttpplay?channel_id=10105
三立新闻,http://208.87.242.79/livehttpplay?channel_id=10126
东森新闻,http://208.87.242.79/livehttpplay?channel_id=20082
靖天歡樂,http://208.87.242.79/livehttpplay?channel_id=30021
三立戏剧台,http://208.87.242.79/livehttpplay?channel_id=10125
三立台湾台,http://208.87.242.79/livehttpplay?channel_id=16074
CATCHPLAY电影台,http://208.87.242.79/livehttpplay?channel_id=10127
博斯运动1,http://208.87.242.79/livehttpplay?channel_id=10131
HBO family,http://208.87.242.79/livehttpplay?channel_id=20092
HBO HD,http://208.87.242.79/livehttpplay?channel_id=20093
HBO HITS,http://208.87.242.79/livehttpplay?channel_id=20091
Now爆谷台,http://208.87.242.79/livehttpplay?channel_id=13002
Now星影台,http://208.87.242.79/livehttpplay?channel_id=13003
MUTV,http://208.87.242.79/livehttpplay?channel_id=13025
愛爾達體育1,http://208.87.242.79/livehttpplay?channel_id=20129
愛爾達體育2,http://208.87.242.79/livehttpplay?channel_id=20107
愛爾達體育3,http://208.87.242.79/livehttpplay?channel_id=21422
愛爾達綜合,http://208.87.242.79/livehttpplay?channel_id=16076
八大第一台,http://208.87.242.79/livehttpplay?channel_id=20073
八大戏剧台,http://208.87.242.79/livehttpplay?channel_id=20071
八大综合台,http://208.87.242.79/livehttpplay?channel_id=20068
好莱坞电影,http://208.87.242.79/livehttpplay?channel_id=20062
ESPN,http://208.87.242.79/livehttpplay?channel_id=13050

【推荐】港台1,#genre#
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰香港,http://r.jdshipin.com/NfC0f
无线新闻台,http://r.jdshipin.com/CkuBd
翡翠台,http://r.jdshipin.com/qClQf
华丽翡翠台,http://r.jdshipin.com/thuYX
TVBPlus,http://r.jdshipin.com/Nr5jq
门视门门,http://r.jdshipin.com/n2YZI
明珠台,http://67.220.71.199:2347/livehttpplay?channel_id=30026
TVB星河,http://r.jdshipin.com/Voac4
广东珠江,http://r.jdshipin.com/sE5vO
广东体育,http://r.jdshipin.com/LiYdg
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/GeWKr
明珠台,http://r.jdshipin.com/ZQ4kN
TVBPlus,http://r.jdshipin.com/ndGgS
广州综合,http://r.jdshipin.com/iR6Gq
广州综合,http://r.jdshipin.com/snhya
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台广电,http://cdn6.163189.xyz/163189/fct
翡翠台4K,http://o11.163189.xyz/stream/tvb/fct4k/
无线新闻台,http://cdn6.163189.xyz/163189/wxxw
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt
HOYTV,http://cdn6.163189.xyz/163189/hoy
HOYTV,http://cdn.163189.xyz/163189/hoy
HOY国际财经台,https://cdn11.163189.xyz/163189/2c86601a7180416e
HOY资讯台,http://cdn.163189.xyz/163189/hoy78
RTHK31,http://cdn.163189.xyz/163189/rthk31
RTHK32,http://cdn.163189.xyz/163189/rthk32
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://cdn6.163189.xyz/163189/fhhk

【推荐】港门台,#genre#
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB黃金华剧,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB娛乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
恐怖电影,http://iptv.4666888.xyz/iptv2A.php?id=59
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
DuckTV儿童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39
MOMO親子,http://iptv.4666888.xyz/iptv2A.php?id=49
金光布袋戏,http://iptv.4666888.xyz/iptv2A.php?id=38
民视综艺,http://iptv.4666888.xyz/iptv2A.php?id=46
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
台视综合,http://iptv.4666888.xyz/iptv2A.php?id=51
八度空間,http://iptv.4666888.xyz/iptv2A.php?id=52
韩流美食料理秀,http://iptv.4666888.xyz/iptv2A.php?id=63
娛乐百分百,http://iptv.4666888.xyz/iptv2A.php?id=64
综艺大贏家,http://iptv.4666888.xyz/iptv2A.php?id=65
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
台视新闻,https://live.wcetv.com/hls/master-ttvnews.m3u8
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
中天亞洲台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv109
华视,http://xtvantsc.xyz/Smart.php?id=ctshd_twn
龙华经典台,http://xtvantsc.xyz/Smart.php?id=lunghuajingdian_twn
龙华电影台,http://xtvantsc.xyz/Smart.php?id=xingwei_movie
靖天卡通台,http://xtvantsc.xyz/Smart.php?id=jingtiancartoon_twn
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8




🌏[三网]全球台直播,#genre#
🇦🇹奥地利Moviesphere,https://moviesphereuk-samsunguk.amagi.tv/playlist.m3u8
🇳🇬尼日利亚Pulse,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-pulse-samsungau/playlist.m3u8
🇱🇰斯里兰卡Mon Tamil TV,http://198.144.149.206:8080/MONTAMIL_CINEMA/index.m3u8?token=GTR
🇺🇸美国24 Hour Free Movies,https://d1j2u714xk898n.cloudfront.net/scheduler/scheduleMaster/145.m3u8
🇫🇷法国RMC Life,https://viamotionhsi.netplus.ch/live/eds/cherie25/browser-HLS8/cherie25.m3u8
🇺🇿乌兹别克斯坦Ilm va Tabiat,https://live.teleradiocom.tj/15/3m.m3u8
🇹🇯塔吉克斯坦TV Sayohi,https://live.teleradiocom.tj/16/3m.m3u8
🇨🇱智利Chile Channel,https://v2.tustreaming.cl/chilechannel/index.m3u8
🇨🇷哥斯达黎加Costa Rica Channel,https://video0.rogohosting.com:19360/8006/8006.m3u8
🇧🇷巴西Teletur,https://fox.hostlagarto.com:8081/teleturtv/tracks-v1a1/mono.m3u8
🇧🇷巴西KMKYV,https://live20.bozztv.com/giatv/giatv-KMKTV/KMKTV/chunks.m3u8
🇨🇴哥伦比亚Turismo RDTV,https://streamunoapp.com:3086/live/telemileniolive.m3u8
🇲🇽墨西哥Canal del Congreso 45.1,https://ccstreaming.packet.mx/WebRTCAppEE/streams/45.1_kd5oiNTTWO0gEOFc431277834.m3u8
🇲🇽墨西哥Alcarria TV,http://cls.alcarria.tv/live/alcarriatv-livestream.m3u8
🇧🇪比利时BX1 Redif,http://iptv.zkbhj.com/tv/url/go?id=f1be0d493321f4c33715e1b7e70c09d0f2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
🇷🇴罗马尼亚Kanal Jadid,http://iptv.zkbhj.com/tv/url/go?id=fb81bb9b43e59961094aa63269613455f2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
🇿🇦南非Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
🇿🇦南非KZNTV,http://iptv.zkbhj.com/tv/url/go?id=023c6f5c22ab16bc1522811c64e2ee48f2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
🇲🇾马来西亚TV Okey,http://iptv.zkbhj.com/tv/url/go?id=24d35236f28cd5a468441d4357b95c96f2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
🇸🇦沙特阿拉伯Sharjah Sports,http://iptv.zkbhj.com/tv/url/go?id=fe7c06a71814ab54acc516226fed4d7ff2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
🇱🇦老挝Hmong Star TV,http://iptv.zkbhj.com/tv/url/go?id=4feaf426ab2c3414a12910e0c7b7377ef2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
